true_counts,estimates,absolute_error,normalized_error,relative_error
122074,122117,43,8.01500109973271e-05,0.0003522453593721841
6933,6873,60,0.00011183722464743315,0.00865426222414539
2748,2743,5,9.319768720619429e-06,0.001819505094614265
454,440,14,2.6095352417734403e-05,0.030837004405286344
4729,4736,7,1.3047676208867201e-05,0.00148022837809262
5387,5372,15,2.7959306161858287e-05,0.0027844811583441617
6241,6164,77,0.0001435244382975392,0.012337766383592373
122527,122578,51,9.506164095031817e-05,0.0004162347890668995
119674,119802,128,0.00023858607924785738,0.0010695723381854037
373,317,56,0.00010438140967093761,0.15013404825737264
6933,6949,16,2.9823259905982172e-05,0.0023078032597721046
48691,48679,12,2.236744492948663e-05,0.00024645211640754965
6487,6408,79,0.00014725234578578697,0.012178202558964082
5970,5956,14,2.6095352417734403e-05,0.0023450586264656616
9877,9823,54,0.00010065350218268983,0.005467247139819783
1174,1162,12,2.236744492948663e-05,0.010221465076660987
2097,2058,39,7.269419602083154e-05,0.01859799713876967
10194,10273,79,0.00014725234578578697,0.007749656660780852
9369,9408,39,7.269419602083154e-05,0.004162664105027218
123955,124080,125,0.00023299421801548572,0.0010084304788027913
2597,2657,60,0.00011183722464743315,0.023103581055063535
3635,3722,87,0.00016216397573877808,0.023933975240715267
3771,3699,72,0.00013420466957691978,0.01909307875894988
6741,6724,17,3.168721365010606e-05,0.0025218810265539237
114847,114845,2,3.7279074882477715e-06,1.7414473168650467e-05
1987,1989,2,3.7279074882477715e-06,0.0010065425264217413
216243,216308,65,0.00012115699336805257,0.00030058776469064896
2814,2791,23,4.2870936114849375e-05,0.008173418621179816
83310,83373,63,0.0001174290858798048,0.0007562117392870003
1019,874,145,0.00027027329289796344,0.1422963689892051
123898,123951,53,9.878954843856594e-05,0.00042777123117403024
2413,2418,5,9.319768720619429e-06,0.0020721094073767096
4811,4893,82,0.00015284420701815863,0.017044273539804613
11358,11310,48,8.946977971794652e-05,0.004226096143687269
6570,6630,60,0.00011183722464743315,0.0091324200913242
1538,1493,45,8.387791848557487e-05,0.029258777633289986
2997,3045,48,8.946977971794652e-05,0.016016016016016016
218507,218505,2,3.7279074882477715e-06,9.153024845885944e-06
216243,216187,56,0.00010438140967093761,0.0002589679203488668
49377,49366,11,2.0503491185362745e-05,0.0002227757862972639
3024,3033,9,1.6775583697114972e-05,0.002976190476190476
9853,9857,4,7.455814976495543e-06,0.0004059677255658175
121831,121880,49,9.13337334620704e-05,0.000402196485295204
6733,6726,7,1.3047676208867201e-05,0.0010396554284865587
5046,5033,13,2.4231398673610515e-05,0.002576298057867618
4752,4728,24,4.473488985897326e-05,0.005050505050505051
4838,4956,118,0.00021994654180661853,0.024390243902439025
119049,119064,15,2.7959306161858287e-05,0.00012599853841695435
5740,5693,47,8.760582597382263e-05,0.008188153310104529
5139,5189,50,9.319768720619429e-05,0.00972951936174353
2879,2840,39,7.269419602083154e-05,0.013546370267453978
3137,3085,52,9.692559469444206e-05,0.01657634682817979
5478,5432,46,8.574187222969875e-05,0.008397225264695144
3810,3893,83,0.0001547081607622825,0.02178477690288714
6620,6590,30,5.5918612323716575e-05,0.004531722054380665
135494,135556,62,0.00011556513213568092,0.00045758483770499064
123948,123958,10,1.8639537441238857e-05,8.067899441701359e-05
121500,121458,42,7.82860572532032e-05,0.000345679012345679
2142,2197,55,0.00010251745592681373,0.025676937441643323
80500,80539,39,7.269419602083154e-05,0.000484472049689441
121025,121031,6,1.1183722464743315e-05,4.957653377401363e-05
124767,124710,57,0.0001062453634150615,0.00045685157132895716
79597,79605,8,1.4911629952991086e-05,0.00010050630048871189
119538,119642,104,0.00019385118938888412,0.0008700162291488899
123624,123616,8,1.4911629952991086e-05,6.471235358830001e-05
5045,5028,17,3.168721365010606e-05,0.0033696729435084244
118038,118020,18,3.3551167394229945e-05,0.0001524932648808011
1796,1809,13,2.4231398673610515e-05,0.007238307349665924
184124,184123,1,1.8639537441238858e-06,5.431122504399209e-06
5389,5440,51,9.506164095031817e-05,0.00946372239747634
1996,2037,41,7.642210350907931e-05,0.020541082164328657
6588,6583,5,9.319768720619429e-06,0.0007589556769884638
495,507,12,2.236744492948663e-05,0.024242424242424242
83453,83453,0,0.0,0.0
5207,5198,9,1.6775583697114972e-05,0.0017284424812752065
123863,123881,18,3.3551167394229945e-05,0.0001453218475250882
120740,120781,41,7.642210350907931e-05,0.0003395726354149412
7304,7361,57,0.0001062453634150615,0.0078039430449069
77066,77064,2,3.7279074882477715e-06,2.595178158980614e-05
184124,184103,21,3.91430286266016e-05,0.00011405357259238339
11398,11365,33,6.151047355608824e-05,0.002895244779785927
80556,80497,59,0.00010997327090330926,0.0007324097522220567
1691,1679,12,2.236744492948663e-05,0.007096392667060911
5763,5744,19,3.541512113835383e-05,0.00329689397883047
182814,182702,112,0.00020876281934187522,0.00061264454582253
2693,2734,41,7.642210350907931e-05,0.015224656516895656
9965,9949,16,2.9823259905982172e-05,0.0016056196688409433
122955,123011,56,0.00010438140967093761,0.00045545118132650156
83511,83471,40,7.455814976495543e-05,0.000478978817161811
122543,122533,10,1.8639537441238857e-05,8.160400838889207e-05
10149,10143,6,1.1183722464743315e-05,0.0005911912503694946
184922,184917,5,9.319768720619429e-06,2.7038427012470123e-05
9369,9307,62,0.00011556513213568092,0.006617568577222756
2898,2830,68,0.00012674885460042424,0.023464458247066944
7009,6961,48,8.946977971794652e-05,0.006848337851333999
5871,5902,31,5.778256606784046e-05,0.005280190768182593
3055,3108,53,9.878954843856594e-05,0.01734860883797054
83511,83636,125,0.00023299421801548572,0.0014968088036306595
2467,2469,2,3.7279074882477715e-06,0.0008107012565869477
2936,3007,71,0.0001323407158327959,0.024182561307901907
123898,123937,39,7.269419602083154e-05,0.0003147750569016449
964,922,42,7.82860572532032e-05,0.043568464730290454
2106,2126,20,3.7279074882477714e-05,0.00949667616334283
215329,215274,55,0.00010251745592681373,0.000255423096749625
77389,77439,50,9.319768720619429e-05,0.0006460866531419194
2952,2957,5,9.319768720619429e-06,0.0016937669376693768
2690,2719,29,5.405465857959269e-05,0.010780669144981412
184124,184101,23,4.2870936114849375e-05,0.00012491581760118182
670,661,9,1.6775583697114972e-05,0.013432835820895522
9537,9525,12,2.236744492948663e-05,0.0012582573136206354
5053,5034,19,3.541512113835383e-05,0.0037601424896101326
79294,79291,3,5.5918612323716575e-06,3.783388402653416e-05
7495,7508,13,2.4231398673610515e-05,0.0017344896597731821
3144,3108,36,6.710233478845989e-05,0.011450381679389313
10131,10143,12,2.236744492948663e-05,0.0011844832691738228
2045,2056,11,2.0503491185362745e-05,0.0053789731051344745
3229,3177,52,9.692559469444206e-05,0.01610405698358625
215329,215276,53,9.878954843856594e-05,0.0002461349841405477
120769,120783,14,2.6095352417734403e-05,0.00011592378838940456
4780,4764,16,2.9823259905982172e-05,0.0033472803347280333
216243,216214,29,5.405465857959269e-05,0.00013410838732352029
5158,5184,26,4.846279734722103e-05,0.005040713454827452
3063,3012,51,9.506164095031817e-05,0.01665034280117532
5826,5858,32,5.9646519811964344e-05,0.0054926192928252664
81149,81113,36,6.710233478845989e-05,0.0004436283872875821
123530,123589,59,0.00010997327090330926,0.0004776167732534607
10171,10146,25,4.6598843603097145e-05,0.0024579687346376953
5033,4972,61,0.00011370117839155703,0.012120007947546195
83453,83398,55,0.00010251745592681373,0.0006590535990317904
218507,218484,23,4.2870936114849375e-05,0.00010525978572768836
3804,3822,18,3.3551167394229945e-05,0.00473186119873817
939,899,40,7.455814976495543e-05,0.042598509052183174
183568,183573,5,9.319768720619429e-06,2.7237862808332606e-05
5589,5608,19,3.541512113835383e-05,0.003399534800500984
184922,184900,22,4.100698237072549e-05,0.00011896907885486854
117183,117128,55,0.00010251745592681373,0.00046935135642542006
562,571,9,1.6775583697114972e-05,0.01601423487544484
5395,5370,25,4.6598843603097145e-05,0.004633920296570899
3746,3774,28,5.2190704835468805e-05,0.007474639615589963
7161,7223,62,0.00011556513213568092,0.008658008658008658
2727,2705,22,4.100698237072549e-05,0.008067473414008068
5712,5687,25,4.6598843603097145e-05,0.004376750700280112
7277,7352,75,0.00013979653080929143,0.010306444963583895
4052,4062,10,1.8639537441238857e-05,0.0024679170779861796
7146,7178,32,5.9646519811964344e-05,0.004478029666946544
123046,123020,26,4.846279734722103e-05,0.0002113030899013377
39785,39751,34,6.337442730021212e-05,0.000854593439738595
4722,4763,41,7.642210350907931e-05,0.00868276154171961
1994,2066,72,0.00013420466957691978,0.03610832497492478
6945,6930,15,2.7959306161858287e-05,0.0021598272138228943
6033,6070,37,6.896628853258377e-05,0.006132935521299519
4043,4054,11,2.0503491185362745e-05,0.002720751916893396
1663,1610,53,9.878954843856594e-05,0.03187011425135298
4253,4249,4,7.455814976495543e-06,0.0009405125793557489
3130,3148,18,3.3551167394229945e-05,0.005750798722044728
114847,114760,87,0.00016216397573877808,0.0007575295828362952
39785,39731,54,0.00010065350218268983,0.0013572954631142391
79315,79294,21,3.91430286266016e-05,0.0002647670680199206
120457,120523,66,0.00012302094711217647,0.0005479133632748616
4157,4205,48,8.946977971794652e-05,0.01154678854943469
5469,5472,3,5.5918612323716575e-06,0.0005485463521667581
1950,1935,15,2.7959306161858287e-05,0.007692307692307693
4825,4839,14,2.6095352417734403e-05,0.002901554404145078
1159,1078,81,0.00015098025327403474,0.06988783433994823
77921,78001,80,0.00014911629952991086,0.0010266808690853556
7648,7580,68,0.00012674885460042424,0.00889121338912134
215329,215350,21,3.91430286266016e-05,9.752518239531136e-05
82939,82941,2,3.7279074882477715e-06,2.4114107958861333e-05
3905,3857,48,8.946977971794652e-05,0.012291933418693982
6290,6275,15,2.7959306161858287e-05,0.0023847376788553257
2897,2873,24,4.473488985897326e-05,0.008284432171211598
3698,3842,144,0.00026840933915383956,0.038939967550027044
5804,5778,26,4.846279734722103e-05,0.004479669193659545
5120,5194,74,0.00013793257706516755,0.014453125
5139,5167,28,5.2190704835468805e-05,0.005448530842576377
1663,1668,5,9.319768720619429e-06,0.003006614552014432
1356,1324,32,5.9646519811964344e-05,0.02359882005899705
124795,124773,22,4.100698237072549e-05,0.00017628911414720142
2971,2840,131,0.00024417794048022906,0.044092898014136656
83179,83115,64,0.00011929303962392869,0.0007694249750537996
118495,118433,62,0.00011556513213568092,0.0005232288282206
4261,4197,64,0.00011929303962392869,0.015019948368927482
120200,120245,45,8.387791848557487e-05,0.00037437603993344424
2874,2906,32,5.9646519811964344e-05,0.011134307585247043
39785,39813,28,5.2190704835468805e-05,0.0007037828327259017
122543,122554,11,2.0503491185362745e-05,8.976440922778126e-05
118808,118810,2,3.7279074882477715e-06,1.6833883240185847e-05
5069,5116,47,8.760582597382263e-05,0.009272045768396133
673,638,35,6.5238381044336e-05,0.05200594353640416
114847,114847,0,0.0,0.0
1132,1171,39,7.269419602083154e-05,0.03445229681978799
6735,6787,52,9.692559469444206e-05,0.007720861172976986
5771,5737,34,6.337442730021212e-05,0.005891526598509791
123530,123557,27,5.0326751091344914e-05,0.0002185703877600583
6523,6531,8,1.4911629952991086e-05,0.0012264295569523226
3522,3475,47,8.760582597382263e-05,0.013344690516751846
6554,6620,66,0.00012302094711217647,0.01007018614586512
6231,6185,46,8.574187222969875e-05,0.007382442625581768
2971,2999,28,5.2190704835468805e-05,0.009424436216762033
5624,5645,21,3.91430286266016e-05,0.0037339971550497866
