true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
183,105.0,1,1,16470,2222,2222,73,18,1,54,0,0,0,78.0,0.0001453883920416631,0.4262295081967213,18766
27,9.0,1,1,24198,3934,3934,28,6,22,0,0,0,0,18.0,3.3551167394229945e-05,0.6666666666666666,28161
1750,1253.0,1,1,9386,3094,3094,667,352,163,152,0,0,0,497.0,0.0009263850108295712,0.284,13148
2250,1962.0,1,1,18150,2484,2484,365,128,26,211,0,0,0,288.0,0.0005368186783076791,0.128,21000
858,562.0,1,1,24198,4105,4105,432,82,350,0,0,0,0,296.0,0.0005517303082606702,0.34498834498834496,28736
240,53.0,38,25,3156,2254,56350,226,81,91,54,0,0,0,187.0,0.00034855935015116666,0.7791666666666667,59770
639,454.0,38,21,16470,2041,42861,222,60,10,152,0,0,0,185.0,0.0003448314426629189,0.2895148669796557,59591
1373,1147.0,1,1,16470,2185,2185,295,86,14,195,0,0,0,226.0,0.0004212535461719982,0.16460305899490169,18951
614,374.0,1,1,9386,3079,3079,342,167,97,78,0,0,0,240.0,0.0004473488985897326,0.39087947882736157,12808
2707,2394.0,1,1,17814,2419,2419,425,188,0,237,0,0,0,313.0,0.0005834175219107762,0.11562615441448097,20659
1294,1176.0,1,1,376,290,290,107,0,32,35,40,0,0,118.0,0.00021994654180661853,0.09119010819165378,774
363,76.0,38,24,9386,3024,72576,337,119,106,112,0,0,0,287.0,0.0005349547245635552,0.790633608815427,82337
2070,1460.0,1,1,24198,4072,4072,885,180,705,0,0,0,0,610.0,0.0011370117839155703,0.2946859903381642,29156
549,330.0,1,1,10008,2932,2932,311,66,175,70,0,0,0,219.0,0.000408205869963131,0.3989071038251366,13252
776,527.0,38,21,754,566,11886,252,0,18,234,0,0,0,249.0,0.00046412448228684756,0.32087628865979384,12930
63,31.0,1,1,24198,3994,3994,58,9,49,0,0,0,0,32.0,5.9646519811964344e-05,0.5079365079365079,28251
937,686.0,1,1,16470,2222,2222,300,154,15,131,0,0,0,251.0,0.00046785238977509533,0.2678762006403415,18993
2218,1808.0,1,1,24198,4142,4142,628,125,503,0,0,0,0,410.0,0.0007642210350907932,0.1848512173128945,28969
38866,28359.0,125,123,5284,3102,381546,14744,7468,3441,3835,0,0,0,10507.0,0.01958456198950967,0.27033911387845416,401699
410,78.0,38,28,22854,3879,108612,448,116,332,0,0,0,0,332.0,0.00061883264304913,0.8097560975609757,131952
1182,774.0,1,1,22854,3967,3967,554,81,473,0,0,0,0,408.0,0.0007604931276025454,0.34517766497461927,27376
838,552.0,1,1,3191,1885,1885,344,20,190,134,0,0,0,286.0,0.0005330907708194313,0.3412887828162291,5421
180,21.0,38,22,9386,3047,67034,193,109,36,48,0,0,0,159.0,0.00029636864531569783,0.8833333333333333,76651
132,25.0,38,16,5284,3233,51728,148,93,39,16,0,0,0,107.0,0.00019944305062125577,0.8106060606060606,57198
647,530.0,38,23,376,304,6992,101,0,14,26,61,0,0,117.0,0.00021808258806249465,0.18083462132921174,7507
677,411.0,1,1,2483,1579,1579,313,0,173,140,0,0,0,266.0,0.0004958116959369537,0.3929098966026588,4376
27,-13.0,38,4,18150,2259,9036,26,14,0,12,0,0,0,40.0,7.455814976495543e-05,1.4814814814814814,27250
368,260.0,1,1,22854,3930,3930,161,25,136,0,0,0,0,108.0,0.00020130700436537966,0.29347826086956524,26946
1347,1029.0,1,1,22854,3948,3948,445,55,390,0,0,0,0,318.0,0.0005927372906313957,0.23608017817371937,27248
1317,879.0,38,23,10008,3277,75371,585,371,115,99,0,0,0,438.0,0.000816411739926262,0.3325740318906606,86002
1287,1098.0,1,1,17814,2229,2229,210,62,0,148,0,0,0,189.0,0.0003522872576394144,0.14685314685314685,20254
1112,880.0,1,1,17814,2289,2289,385,227,0,158,0,0,0,232.0,0.0004324372686367415,0.20863309352517986,20489
2979,2504.0,1,1,5284,3233,3233,672,453,143,76,0,0,0,475.0,0.0008853780284588458,0.15944947969117154,9190
2102,1423.0,38,28,5816,3588,100464,1000,580,420,0,0,0,0,679.0,0.0012656245922601185,0.3230256898192198,107318
775,531.0,1,1,24198,4017,4017,351,54,297,0,0,0,0,244.0,0.00045480471356622814,0.31483870967741934,28567
804,623.0,1,1,17814,2342,2342,211,76,0,135,0,0,0,181.0,0.00033737562768642335,0.22512437810945274,20368
1281,1045.0,1,1,754,568,568,282,0,26,256,0,0,0,236.0,0.00043989308361323706,0.18423106947697113,1605
469,296.0,1,1,18150,2377,2377,241,111,10,120,0,0,0,173.0,0.00032246399773343227,0.36886993603411516,20769
506,239.0,38,28,3282,1809,50652,319,22,171,126,0,0,0,267.0,0.0004976756496810775,0.5276679841897233,54291
1483,1044.0,1,1,22854,3997,3997,634,57,577,0,0,0,0,439.0,0.0008182756936703859,0.29602157788267025,27486
1557,1129.0,38,23,24198,3901,89723,614,104,510,0,0,0,0,428.0,0.0007977722024850231,0.27488760436737314,114573
1742,1438.0,38,28,16470,2290,64120,409,114,13,282,0,0,0,304.0,0.0005666419382136613,0.17451205510907003,81037
1262,962.0,1,1,22854,3866,3866,436,70,366,0,0,0,0,300.0,0.0005591861232371657,0.23771790808240886,27157
86,63.0,1,1,24198,4112,4112,76,11,65,0,0,0,0,23.0,4.2870936114849375e-05,0.26744186046511625,28387
772,482.0,1,1,9386,2955,2955,415,295,28,92,0,0,0,290.0,0.0005405465857959269,0.3756476683937824,12757
133,-16.0,38,22,5284,2968,65296,202,146,32,24,0,0,0,149.0,0.000277729107874459,1.1203007518796992,70820
1282,868.0,1,1,3688,2483,2483,609,99,510,0,0,0,0,414.0,0.0007716768500672887,0.32293291731669266,6781
1302,999.0,1,1,9386,2999,2999,580,274,166,140,0,0,0,303.0,0.0005647779844695374,0.23271889400921658,12966
0,-1.0,1,1,16470,2144,2144,2,1,1,0,0,0,0,1.0,1.8639537441238858e-06,0.0,18617
145,68.0,1,1,18150,2259,2259,118,48,5,65,0,0,0,77.0,0.0001435244382975392,0.5310344827586206,20528
1565,1338.0,1,1,16470,2336,2336,311,109,17,185,0,0,0,227.0,0.0004231174999161221,0.1450479233226837,19118
2055,1738.0,38,28,16470,2282,63896,439,134,23,282,0,0,0,317.0,0.0005908733368872718,0.15425790754257906,80843
272,135.0,1,1,3156,2147,2147,150,30,61,59,0,0,0,137.0,0.00025536166294497237,0.5036764705882353,5454
16835,9675.0,125,123,9386,2986,367278,9685,3595,2900,3190,0,0,0,7160.0,0.013345908807927022,0.4253044253044253,386474
389,273.0,1,1,24198,3882,3882,176,40,136,0,0,0,0,116.0,0.00021621863431837076,0.2982005141388175,28257
1226,871.0,38,22,24198,4125,90750,526,97,429,0,0,0,0,355.0,0.0006617035791639795,0.2895595432300163,115512
993,609.0,38,28,3191,1765,49420,512,24,329,159,0,0,0,384.0,0.0007157582377435722,0.3867069486404834,53161
1575,1162.0,1,1,24198,3932,3932,611,96,515,0,0,0,0,413.0,0.0007698128963231648,0.26222222222222225,28742
509,232.0,1,1,9386,3018,3018,325,88,161,76,0,0,0,277.0,0.0005163151871223164,0.5442043222003929,12730
532,326.0,38,23,9386,3099,71277,329,123,117,89,0,0,0,206.0,0.00038397447128952046,0.38721804511278196,81030
259,127.0,1,1,9386,3033,3033,173,40,91,42,0,0,0,132.0,0.00024604189422435294,0.5096525096525096,12593
387,313.0,1,1,16470,1941,1941,103,25,0,78,0,0,0,74.0,0.00013793257706516755,0.19121447028423771,18515
1732,1176.0,1,1,9917,3245,3245,668,286,231,151,0,0,0,556.0,0.0010363582817328805,0.3210161662817552,13831
746,428.0,1,1,24198,4051,4051,359,41,318,0,0,0,0,318.0,0.0005927372906313957,0.4262734584450402,28609
1234,964.0,1,1,17814,2269,2269,432,264,0,168,0,0,0,270.0,0.0005032675109134492,0.2188006482982172,20516
1234,917.0,1,1,17814,2346,2346,447,263,0,184,0,0,0,317.0,0.0005908733368872718,0.2568881685575365,20608
1586,1181.0,1,1,22854,3864,3864,592,92,500,0,0,0,0,405.0,0.0007549012663701737,0.255359394703657,27311
2166,1555.0,38,23,3688,2428,55844,758,151,607,0,0,0,0,611.0,0.0011388757376596943,0.2820867959372115,60328
26892,19888.0,125,123,754,560,68880,7648,0,594,7054,0,0,0,7004.0,0.013055132023843697,0.2604492042243046,77407
14019,7472.0,125,114,9917,3335,380190,8939,3714,2105,3120,0,0,0,6547.0,0.012203305162779081,0.4670090591340324,399171
1721,1447.0,1,1,1644,836,836,309,21,30,258,0,0,0,274.0,0.0005107233258899447,0.15920976176641488,2790
1,-7.0,1,1,18150,2574,2574,8,4,0,4,0,0,0,8.0,1.4911629952991086e-05,8.0,20733
1115,741.0,38,23,22854,3818,87814,544,61,483,0,0,0,0,374.0,0.0006971187003023333,0.33542600896860986,111250
254,147.0,1,1,3282,1797,1797,139,3,81,55,0,0,0,107.0,0.00019944305062125577,0.421259842519685,5219
2628,1965.0,1,1,3688,2424,2424,953,182,771,0,0,0,0,663.0,0.0012358013323541363,0.2522831050228311,7066
415,203.0,38,29,16470,2287,66323,272,128,3,141,0,0,0,212.0,0.00039515819375426377,0.5108433734939759,83103
488,334.0,1,1,17814,2226,2226,249,115,0,134,0,0,0,154.0,0.0002870488765950784,0.3155737704918033,20290
505,86.0,38,29,9917,3198,92742,465,192,125,148,0,0,0,419.0,0.0007809966187879081,0.8297029702970297,103162
1526,1228.0,1,1,9386,3175,3175,523,281,108,134,0,0,0,298.0,0.000555458215748918,0.19528178243774574,13085
2469,1864.0,1,1,24198,4017,4017,913,192,721,0,0,0,0,605.0,0.001127692015194951,0.24503847711624138,29129
151,4.0,38,19,3156,2254,42826,193,90,70,33,0,0,0,147.0,0.0002740012003862112,0.9735099337748344,46213
1395,1172.0,1,1,18150,2264,2264,270,56,24,190,0,0,0,223.0,0.00041566168493962656,0.15985663082437276,20685
992,718.0,1,1,22854,3948,3948,359,42,317,0,0,0,0,274.0,0.0005107233258899447,0.2762096774193548,27162
385,240.0,1,1,9386,2787,2787,206,85,67,54,0,0,0,145.0,0.00027027329289796344,0.37662337662337664,12380
0,-3.0,1,1,754,587,587,2,0,2,0,0,0,0,3.0,5.5918612323716575e-06,0.0,1344
481,307.0,1,1,9917,2836,2836,252,105,49,98,0,0,0,174.0,0.00032432795147755615,0.36174636174636177,13006
17148,9794.0,125,123,9386,3087,379701,9841,3694,3022,3125,0,0,0,7354.0,0.013707515834287056,0.42885467693025425,399053
1,-6.0,1,1,9917,3083,3083,5,2,2,1,0,0,0,7.0,1.3047676208867201e-05,7.0,13006
18360,11403.0,125,123,9386,2797,344031,9161,3281,2572,3308,0,0,0,6957.0,0.012967526197869873,0.37892156862745097,362703
1126,769.0,1,1,24198,4089,4089,515,98,417,0,0,0,0,357.0,0.0006654314866522273,0.31705150976909413,28803
28,17.0,1,1,22854,3766,3766,24,1,23,0,0,0,0,11.0,2.0503491185362745e-05,0.39285714285714285,26645
232,48.0,38,26,9917,2867,74542,263,117,41,105,0,0,0,184.0,0.000342967488918795,0.7931034482758621,84760
1492,1257.0,1,1,18150,2347,2347,319,98,31,190,0,0,0,235.0,0.0004380291298691132,0.15750670241286863,20817
23005,14570.0,125,123,9386,3101,381423,11196,4564,3324,3308,0,0,0,8435.0,0.015722449831684977,0.366659421864812,402130
0,1.0,1,1,16470,1936,1936,2,2,0,0,0,0,0,1.0,1.8639537441238858e-06,0.0,18409
1844,1378.0,1,1,24198,4048,4048,643,123,520,0,0,0,0,466.0,0.0008686024447617308,0.2527114967462039,28890
873,619.0,1,1,16470,2216,2216,384,208,7,169,0,0,0,254.0,0.000473444251007467,0.290950744558992,19071
996,669.0,38,25,9386,3058,76450,462,171,149,142,0,0,0,327.0,0.0006095128743285106,0.32831325301204817,86336
623,220.0,38,30,18150,2281,68430,405,161,32,212,0,0,0,403.0,0.000751173358881926,0.6468699839486356,87023
2159,1623.0,1,1,9386,3183,3183,816,484,184,148,0,0,0,536.0,0.0009990792068504028,0.24826308476146364,13386
1620,1430.0,1,1,16470,2295,2295,274,91,14,169,0,0,0,190.0,0.0003541512113835383,0.11728395061728394,19040
435,210.0,38,29,16470,2286,66294,284,129,14,141,0,0,0,225.0,0.00041938959242787433,0.5172413793103449,83086
817,484.0,1,1,9386,3038,3038,435,239,99,97,0,0,0,333.0,0.0006206965967932539,0.40758873929008566,12860
2196,1850.0,1,1,17814,2424,2424,356,106,0,250,0,0,0,346.0,0.0006449279954668645,0.1575591985428051,20595
43263,30595.0,125,123,22854,3987,490401,17352,1180,16172,0,0,0,0,12668.0,0.023612566030561385,0.2928137207313409,530732
2325,1849.0,1,1,22854,3958,3958,695,110,585,0,0,0,0,476.0,0.0008872419822029697,0.20473118279569893,27508
449,215.0,38,28,17814,2267,63476,297,128,0,169,0,0,0,234.0,0.0004361651761249893,0.5211581291759465,81625
162,52.0,1,1,16470,2281,2281,109,47,2,60,0,0,0,110.0,0.00020503491185362745,0.6790123456790124,18861
743,421.0,38,24,3688,2423,58152,490,57,433,0,0,0,0,322.0,0.0006001931056078912,0.43337819650067294,62368
2181,1820.0,1,1,16470,2185,2185,404,146,13,245,0,0,0,361.0,0.0006728873016287228,0.16552040348464006,19060
1819,1384.0,1,1,10008,3279,3279,708,349,218,141,0,0,0,435.0,0.0008108198786938904,0.23914238592633316,13996
1175,766.0,1,1,24198,4072,4072,552,89,463,0,0,0,0,409.0,0.0007623570813466693,0.34808510638297874,28823
1051,722.0,38,25,9386,3101,77525,442,164,138,140,0,0,0,329.0,0.0006132407818167584,0.31303520456707895,87391
855,710.0,1,1,16470,2241,2241,202,35,6,161,0,0,0,145.0,0.00027027329289796344,0.1695906432748538,18914
617,312.0,1,1,5816,3677,3677,433,215,218,0,0,0,0,305.0,0.0005685058919577852,0.49432739059967584,9927
1234,834.0,38,28,9917,3158,88424,586,289,163,134,0,0,0,400.0,0.0007455814976495543,0.3241491085899514,98965
1513,1240.0,38,23,18150,2158,49634,343,117,26,200,0,0,0,273.0,0.0005088593721458208,0.18043621943159285,68165
497,406.0,1,1,17814,2252,2252,137,59,0,78,0,0,0,91.0,0.00016961979071527362,0.18309859154929578,20204
770,546.0,1,1,9386,3074,3074,350,150,95,105,0,0,0,224.0,0.00041752563868375044,0.2909090909090909,12811
43485,34646.0,125,123,16470,2268,278964,10417,2065,507,7845,0,0,0,8839.0,0.016475487144311025,0.2032654938484535,305976
151,47.0,38,13,3688,2428,31564,157,30,127,0,0,0,0,104.0,0.00019385118938888412,0.6887417218543046,35447
1244,1043.0,1,1,1462,710,710,271,23,7,241,0,0,0,201.0,0.00037465470256890104,0.16157556270096463,2444
18,10.0,1,1,18150,2376,2376,20,17,0,3,0,0,0,8.0,1.4911629952991086e-05,0.4444444444444444,20547
406,269.0,1,1,3191,1677,1677,196,9,110,77,0,0,0,137.0,0.00025536166294497237,0.3374384236453202,5065
1875,1483.0,38,24,22854,3958,94992,623,80,543,0,0,0,0,392.0,0.0007306698676965632,0.20906666666666668,118507
797,626.0,1,1,16470,1974,1974,230,52,19,159,0,0,0,171.0,0.0003187360902451845,0.21455457967377667,18675
1460,980.0,38,27,5284,3233,87291,702,474,144,84,0,0,0,480.0,0.0008946977971794652,0.3287671232876712,93315
191,70.0,38,25,17814,2419,60475,213,102,0,111,0,0,0,121.0,0.00022553840303899018,0.6335078534031413,78540
2025,1338.0,38,28,24198,4014,112392,870,153,717,0,0,0,0,687.0,0.0012805362222131095,0.33925925925925926,137498
1009,692.0,1,1,17814,2230,2230,408,229,0,179,0,0,0,317.0,0.0005908733368872718,0.3141724479682854,20453
2326,1841.0,1,1,24198,4148,4148,743,181,562,0,0,0,0,485.0,0.0009040175659000846,0.20851246775580395,29090
2405,1802.0,1,1,24198,4103,4103,958,217,741,0,0,0,0,603.0,0.0011239641077067032,0.25072765072765074,29260
0,-2.0,1,1,24198,4070,4070,4,1,3,0,0,0,0,2.0,3.7279074882477715e-06,0.0,28273
1823,1583.0,1,1,16470,1970,1970,289,98,11,180,0,0,0,240.0,0.0004473488985897326,0.13165112452002195,18730
1540,1254.0,38,25,18150,2456,61400,390,133,22,235,0,0,0,286.0,0.0005330907708194313,0.18571428571428572,79978
1119,850.0,38,22,16470,2205,48510,278,71,8,199,0,0,0,269.0,0.0005014035571693253,0.24039320822162646,65296
1126,798.0,1,1,3688,2424,2424,566,48,518,0,0,0,0,328.0,0.0006113768280726345,0.2912966252220249,6679
43090,30324.0,125,123,24198,4103,504669,17768,1708,16060,0,0,0,0,12766.0,0.023795233497485527,0.2962636342538872,546760
540,335.0,38,22,16470,2174,47828,287,161,2,124,0,0,0,205.0,0.0003821105175453966,0.37962962962962965,64623
3494,3272.0,38,28,2624,1396,39088,309,129,0,180,0,0,0,222.0,0.0004137977311955027,0.06353749284487693,42059
578,205.0,38,29,10008,3198,92742,535,248,137,150,0,0,0,373.0,0.0006952547465582094,0.6453287197231834,103323
262,108.0,38,25,18150,2156,53900,216,74,16,126,0,0,0,154.0,0.0002870488765950784,0.5877862595419847,72304
2052,1568.0,1,1,24198,3990,3990,785,157,628,0,0,0,0,484.0,0.0009021536121559607,0.23586744639376217,28974
2590,2198.0,1,1,5284,3175,3175,640,436,128,76,0,0,0,392.0,0.0007306698676965632,0.15135135135135136,9100
544,354.0,38,21,1462,711,14931,194,7,10,177,0,0,0,190.0,0.0003541512113835383,0.3492647058823529,16625
1796,1473.0,1,1,754,579,579,349,0,46,303,0,0,0,323.0,0.0006020570593520151,0.17984409799554565,1683
1690,1253.0,38,23,24198,4014,92322,626,113,513,0,0,0,0,437.0,0.0008145477861821382,0.25857988165680473,117184
2502,1985.0,1,1,22854,3999,3999,720,99,621,0,0,0,0,517.0,0.0009636640857120489,0.20663469224620304,27574
94,29.0,38,10,1644,836,8360,76,6,9,61,0,0,0,65.0,0.00012115699336805257,0.6914893617021277,10118
758,412.0,38,31,3191,1837,56947,488,30,326,132,0,0,0,346.0,0.0006449279954668645,0.45646437994722955,60664
492,358.0,1,1,22854,3904,3904,190,19,171,0,0,0,0,134.0,0.0002497698017126007,0.27235772357723576,26949
358,210.0,1,1,16470,2135,2135,174,74,0,100,0,0,0,148.0,0.0002758651541303351,0.4134078212290503,18780
358,155.0,38,25,2624,1396,34900,243,115,0,128,0,0,0,203.0,0.0003783826100571488,0.5670391061452514,37805
1578,1265.0,1,1,16470,1962,1962,331,65,22,244,0,0,0,313.0,0.0005834175219107762,0.19835234474017743,18764
43735,30963.0,125,123,24198,4029,495567,17553,1683,15870,0,0,0,0,12772.0,0.02380641721995027,0.2920315536755459,537443
1439,983.0,1,1,9386,2802,2802,621,356,116,149,0,0,0,456.0,0.000849962907320492,0.31688672689367614,12810
119,52.0,38,14,16470,2183,30562,116,69,1,46,0,0,0,67.0,0.00012488490085630036,0.5630252100840336,47186
0,0.0,1,1,754,578,578,0,0,0,0,0,0,0,0.0,0.0,0.0,1333
0,0.0,125,0,22854,4036,0,0,0,0,0,0,0,0,0.0,0.0,0.0,22979
112,-18.0,38,20,18150,2456,49120,149,57,15,77,0,0,0,130.0,0.00024231398673610515,1.1607142857142858,67457
1323,1005.0,1,1,9386,3199,3199,450,152,166,132,0,0,0,318.0,0.0005927372906313957,0.24036281179138322,13036
45310,36888.0,125,123,16470,2062,253626,9852,1869,402,7581,0,0,0,8422.0,0.015698218433011366,0.18587508276318693,280073
1788,1321.0,1,1,2483,1670,1670,636,0,498,138,0,0,0,467.0,0.0008704663985058547,0.2611856823266219,4790
1289,781.0,1,1,3282,1949,1949,615,26,453,136,0,0,0,508.0,0.000946888502014934,0.39410395655546937,5847
2192,1692.0,1,1,22854,3890,3890,771,123,648,0,0,0,0,500.0,0.0009319768720619429,0.2281021897810219,27516
8368,4237.0,125,114,16470,2065,235410,4743,1032,159,3552,0,0,0,4131.0,0.007699992916975772,0.4936663479923518,256748
824,520.0,1,1,22854,3993,3993,389,38,351,0,0,0,0,304.0,0.0005666419382136613,0.36893203883495146,27237
1078,729.0,38,25,24198,3922,98050,562,122,440,0,0,0,0,349.0,0.0006505198566992362,0.323747680890538,122848
988,702.0,1,1,754,567,567,291,0,24,267,0,0,0,286.0,0.0005330907708194313,0.2894736842105263,1613
10970,5362.0,125,114,9386,3031,345534,7441,2769,1930,2742,0,0,0,5608.0,0.010453052597046751,0.5112123974475843,362486
1226,897.0,1,1,10008,3168,3168,507,279,129,99,0,0,0,329.0,0.0006132407818167584,0.26835236541598695,13684
8062,4093.0,125,114,16470,2141,244074,4550,1064,106,3380,0,0,0,3969.0,0.007398032410427703,0.49230960059538575,265219
821,639.0,1,1,17814,2298,2298,244,74,0,170,0,0,0,182.0,0.00033923958143054723,0.22168087697929353,20357
736,491.0,38,30,754,567,17010,273,0,19,254,0,0,0,245.0,0.000456668667310352,0.3328804347826087,18075
11,8.0,1,1,17814,2123,2123,15,8,0,7,0,0,0,3.0,5.5918612323716575e-06,0.2727272727272727,19953
1516,1170.0,1,1,24198,4172,4172,607,104,503,0,0,0,0,346.0,0.0006449279954668645,0.22823218997361477,28978
186,110.0,38,16,1084,514,8224,70,10,9,14,37,0,0,76.0,0.00014166048455341532,0.40860215053763443,9416
261,167.0,1,1,22854,4015,4015,115,6,109,0,0,0,0,94.0,0.00017521165194764527,0.36015325670498083,26985
883,688.0,1,1,1462,754,754,221,23,3,195,0,0,0,195.0,0.00036347098010415773,0.22083805209513024,2438
2432,2100.0,1,1,16470,2282,2282,400,129,17,254,0,0,0,332.0,0.00061883264304913,0.13651315789473684,19153
406,159.0,38,24,2483,1683,40392,269,0,149,120,0,0,0,247.0,0.0004603965747985998,0.6083743842364532,43182
613,298.0,38,30,24198,4103,123090,544,140,404,0,0,0,0,315.0,0.000587145429399024,0.5138662316476346,147870
1241,1072.0,1,1,16470,2076,2076,193,38,10,145,0,0,0,169.0,0.00031500818275693673,0.1361804995970991,18740
598,400.0,38,20,16470,2201,44020,213,58,11,144,0,0,0,198.0,0.0003690628413365294,0.3311036789297659,60741
8296,3797.0,125,114,24198,4046,461244,6485,1511,4974,0,0,0,0,4499.0,0.008385927894813362,0.5423095467695275,492052
857,659.0,1,1,16470,2242,2242,260,130,6,124,0,0,0,198.0,0.0003690628413365294,0.2310385064177363,18973
420,251.0,1,1,18150,2313,2313,241,125,10,106,0,0,0,169.0,0.00031500818275693673,0.4023809523809524,20705
1204,811.0,38,28,3191,1887,52836,602,35,434,133,0,0,0,393.0,0.0007325338214406871,0.32641196013289037,56667
634,414.0,1,1,10008,3304,3304,358,179,105,74,0,0,0,220.0,0.0004100698237072549,0.3470031545741325,13671
34,18.0,1,1,16470,2214,2214,22,8,1,13,0,0,0,16.0,2.9823259905982172e-05,0.47058823529411764,18707
1,-5.0,1,1,17814,2269,2269,4,3,0,1,0,0,0,6.0,1.1183722464743315e-05,6.0,20088
315,18.0,38,28,22854,3936,110208,361,93,268,0,0,0,0,297.0,0.0005535942620047941,0.9428571428571428,133461
2101,1627.0,1,1,24198,4070,4070,748,178,570,0,0,0,0,474.0,0.0008835140747147219,0.2256068538791052,29017
1143,863.0,1,1,18150,2328,2328,401,226,2,173,0,0,0,280.0,0.000521907048354688,0.24496937882764655,20880
448,223.0,38,21,9386,3097,65037,326,147,90,89,0,0,0,225.0,0.00041938959242787433,0.5022321428571429,74787
534,243.0,38,28,2483,1583,44324,350,0,212,138,0,0,0,291.0,0.0005424105395400508,0.5449438202247191,47195
784,537.0,1,1,3156,2254,2254,346,153,123,70,0,0,0,247.0,0.0004603965747985998,0.31505102040816324,5757
522,276.0,38,26,1462,685,17810,267,8,13,246,0,0,0,246.0,0.0004585326210544759,0.47126436781609193,19577
181,70.0,38,8,9917,3181,25448,164,83,40,41,0,0,0,111.0,0.00020689886559775134,0.6132596685082873,35567
145,-20.0,38,21,2483,1584,33264,165,0,114,51,0,0,0,165.0,0.00030755236778044114,1.1379310344827587,35950
