true_counts,estimates,absolute_error,normalized_error,relative_error
122074,23,122051,0.2274974184240644,0.9998115896914986
6933,49,6884,0.01283145757454883,0.9929323525169479
2748,42,2706,0.005043858831599235,0.9847161572052402
454,47,407,0.0007586291738584215,0.8964757709251101
4729,45,4684,0.00873075933747628,0.9904842461408332
5387,45,5342,0.009957240901109799,0.9916465565249675
6241,13,6228,0.011608703918403561,0.9979170004806922
122527,158,122369,0.2280901557146958,0.9987104883005379
119674,23,119651,0.22302392943816707,0.9998078112204823
373,44,329,0.0006132407818167584,0.8820375335120644
6933,37,6896,0.012853825019478316,0.994663204961777
48691,1791,46900,0.08741943059941025,0.9632170216261732
6487,32,6455,0.012031821418319683,0.9950670571913057
5970,47,5923,0.011040198026445775,0.9921273031825796
9877,16,9861,0.018380447870805637,0.9983800749215349
1174,10,1164,0.002169642158160203,0.9914821124361158
2097,143,1954,0.003642165616018073,0.9318073438245112
10194,9,10185,0.018984368883901776,0.9991171277221895
9369,6,9363,0.017452198906231942,0.9993595901376882
123955,147,123808,0.23077238515249004,0.9988140857569279
2597,45,2552,0.004756809955004156,0.9826723142087024
3635,57,3578,0.006669226496475263,0.9843191196698762
3771,43,3728,0.0069488195580938465,0.988597189074516
6741,35,6706,0.012499673808094778,0.9948078920041536
114847,22,114825,0.21402848866902519,0.9998084407951449
1987,41,1946,0.003627253986065082,0.9793658782083543
216243,50,216193,0.40297375180337525,0.9997687786425457
2814,39,2775,0.005172471639943783,0.9861407249466951
83310,1838,81472,0.15186003944126122,0.9779378225903252
1019,39,980,0.001826674669241408,0.9617271835132483
123898,153,123745,0.23065495606661024,0.998765113238309
2413,43,2370,0.0044175703735736096,0.9821798590965602
4811,48,4763,0.008878011683262068,0.9900228642693827
11358,19,11339,0.02113537150462074,0.9983271702764571
6570,4,6566,0.012238720283917435,0.9993911719939117
1538,49,1489,0.002775427125000466,0.9681404421326398
2997,8,2989,0.0055713577411862945,0.9973306639973306
218507,52,218455,0.40719001517258346,0.9997620213540069
216243,50,216193,0.40297375180337525,0.9997687786425457
49377,1776,47601,0.0887260621740411,0.9640318366850963
3024,41,2983,0.005560174018721551,0.986441798941799
9853,9,9844,0.018348760657155534,0.9990865726174769
121831,149,121682,0.22680961949248268,0.9987769943610411
6733,43,6690,0.012469850548188796,0.9936135452250111
5046,6,5040,0.009394326870384384,0.9988109393579072
4752,10,4742,0.008838868654635467,0.997895622895623
4838,5,4833,0.009008488445350741,0.9989665150888797
119049,145,118904,0.22163155599130652,0.9987820141286361
5740,7,5733,0.010686046815062238,0.998780487804878
5139,15,5124,0.00955089898489079,0.997081144191477
2879,38,2841,0.00529549258705596,0.9868009725599166
3137,42,3095,0.0057689368380634265,0.9866114121772394
5478,42,5436,0.010132452553057444,0.9923329682365827
3810,40,3770,0.00702710561534705,0.989501312335958
6620,43,6577,0.012259223775102798,0.9935045317220543
135494,29,135465,0.2525004939477422,0.9997859683823638
123948,161,123787,0.23073324212386345,0.9987010681898861
121500,161,121339,0.22617028335824818,0.9986748971193415
2142,9,2133,0.003975813336216248,0.9957983193277311
80500,1852,78648,0.14659623406785538,0.9769937888198758
121025,164,120861,0.22527931346855695,0.9986449080768436
124767,146,124621,0.23228777954646276,0.99882981878221
79597,270,79327,0.1478618586601155,0.996607912358506
119538,165,119373,0.22250575029730063,0.9986196857902926
123624,145,123479,0.2301591443706733,0.998827088591212
5045,47,4998,0.009316040813131182,0.9906838453914767
118038,147,117891,0.21974337084850903,0.9987546383368068
1796,12,1784,0.0033252934795170125,0.9933184855233853
184124,583,183541,0.3421119341502421,0.9968336555799353
5389,6,5383,0.010033663004618878,0.9988866208944146
1996,5,1991,0.0037111319045506565,0.9974949899799599
6588,39,6549,0.012207033070267327,0.99408014571949
495,8,487,0.0009077454733883324,0.9838383838383838
83453,1851,81602,0.15210235342799733,0.9778198506944028
5207,52,5155,0.009608681550958632,0.990013443441521
123863,158,123705,0.2305803979168453,0.9987243971161687
120740,144,120596,0.22478536572636412,0.9988073546463475
7304,5,7299,0.013604998378360243,0.999315443592552
77066,1840,75226,0.14021778435546345,0.9761243609373783
184124,583,183541,0.3421119341502421,0.9968336555799353
11398,23,11375,0.0212024738394092,0.9979821021231795
80556,1901,78655,0.14660928174406423,0.976401509508913
1691,50,1641,0.0030587480941072966,0.9704316972205795
5763,5,5758,0.010732645658665335,0.9991323963213604
182814,605,182209,0.33962914776306913,0.9966906254444408
2693,39,2654,0.004946933236904793,0.9855180096546602
9965,8,9957,0.01855938743024153,0.9991971901655795
122955,148,122807,0.22890656745462204,0.9987963075922085
83511,48,83463,0.1555711713458119,0.9994252254194058
122543,154,122389,0.22812743478957825,0.9987432982708111
10149,7,10142,0.01890421887290445,0.999310276874569
184922,28,184894,0.34463386356604175,0.9998485848087302
9369,6,9363,0.017452198906231942,0.9993595901376882
2898,14,2884,0.0053756425980532865,0.9951690821256038
7009,49,6960,0.012973118059102246,0.9930089884434299
5871,45,5826,0.01085939451326576,0.9923352069494124
3055,45,3010,0.005610500769812897,0.9852700490998363
83511,48,83463,0.1555711713458119,0.9994252254194058
2467,155,2312,0.004309461056414424,0.9371706526145116
2936,13,2923,0.005448336794074118,0.9955722070844687
