true_counts,estimates,absolute_error,normalized_error,relative_error
122074,49748,72326,0.13346521279402998,0.5924766944640136
7023,0,7023,0.01295974047303145,1.0
2774,131,2643,0.004877202629961857,0.9527757750540735
455,0,455,0.0008396243649764075,1.0
4794,0,4794,0.00884650374878439,1.0
5431,106,5325,0.009826373062635977,0.98048241576137
6262,963,5299,0.00977839452749447,0.8462152666879591
123604,4234,119370,0.2202768361477665,0.9657454451312255
119674,39612,80062,0.1477406723269036,0.6690007854671859
378,322,56,0.00010333838338171169,0.14814814814814814
7027,348,6679,0.012324947546543792,0.9504767326028177
49453,1120,48333,0.08919025149979055,0.9773522334337654
6564,485,6079,0.011217750581739738,0.9261121267519805
6013,278,5735,0.01058295765525208,0.9537668385165475
9915,1423,8492,0.01567052770852671,0.8564800806858296
1192,417,775,0.001430129412871903,0.6501677852348994
2167,0,2167,0.003998826371217307,1.0
10270,2452,7818,0.014426776451396821,0.7612463485881208
9369,2677,6692,0.012348936814114546,0.7142704664318498
124981,1995,122986,0.2269495431889856,0.9840375737112041
2633,464,2169,0.004002517027766654,0.823775161412837
3651,142,3509,0.0064752569158290415,0.9611065461517393
3802,298,3504,0.0064660302744556745,0.9216201998947923
6828,136,6692,0.012348936814114546,0.9800820152314001
114847,29004,85843,0.15840851508279066,0.747455310108231
1996,0,1996,0.0036832752362481523,1.0
218046,163605,54441,0.10046151660149583,0.24967667372939656
2842,0,2842,0.005244422956621868,1.0
83957,1508,82449,0.15214547091854905,0.9820384244315542
1043,107,936,0.001727227265094324,0.8974113135186961
124895,3023,121872,0.22489384749099942,0.9757956683614236
2443,241,2202,0.004063412860830878,0.9013507981989357
4836,99,4737,0.008741320037128004,0.9795285359801489
11409,1679,9730,0.017955044112572406,0.8528354807608028
6570,1361,5209,0.00961231498277386,0.7928462709284627
1542,300,1242,0.0022918977171443914,0.8054474708171206
2997,0,2997,0.005530448839196248,1.0
220209,28740,191469,0.3533231594234456,0.8694876231216708
218046,163800,54246,0.1001016775879345,0.24878236702347212
50189,1076,49113,0.09062960755403583,0.9785610392715536
3049,201,2848,0.005255494926269909,0.9340767464742539
9927,6993,2934,0.005414193157891823,0.2955575702629193
122908,5480,117428,0.21669320863835073,0.9554138054479774
6829,675,6154,0.011356150202340246,0.9011568311612241
5046,1004,4042,0.007458816886229976,0.801030519223147
4752,2174,2578,0.004757256292108085,0.5425084175084175
4838,1094,3744,0.006908909060377296,0.7738735014468788
120095,2621,117474,0.21677809373898568,0.9781756109746451
5740,1401,4339,0.008006879383807982,0.7559233449477352
5163,583,4580,0.008451603498004277,0.8870811543676157
2910,0,2910,0.005369905279299661,1.0
3167,159,3008,0.0055507474502176565,0.9497947584464793
5522,391,5131,0.009468379377349333,0.9291923216226005
3848,299,3549,0.006549070046815978,0.9222972972972973
6719,311,6408,0.011824863584107295,0.9537133502009227
135494,38933,96561,0.1781867435307404,0.7126588631230903
124987,3596,121391,0.2240062445908815,0.971229007816813
122516,3636,118880,0.21937262529317653,0.9703222436253224
2142,700,1442,0.002660963372079076,0.673202614379085
81200,3942,77258,0.14256637184471932,0.9514532019704434
122039,3047,118992,0.21957930205993995,0.9750325715549947
125805,4352,121453,0.22412065494391126,0.9654067803346449
79597,16388,63209,0.1166413549138324,0.7941128434488737
120505,3366,117139,0.2161599087669701,0.9720675490643542
124647,4311,120336,0.22205942326110104,0.9654143300681124
5085,243,4842,0.008935079505968715,0.952212389380531
119070,2671,116399,0.21479436584371175,0.9775678172503569
1805,1163,642,0.0011847007523403375,0.3556786703601108
185357,14372,170985,0.31552345504503526,0.9224631386999143
5389,806,4583,0.008457139482828297,0.850436073483021
1996,263,1733,0.003197953900009042,0.8682364729458918
6680,225,6455,0.011911594013016946,0.9663173652694611
495,395,100,0.00018453282746734231,0.20202020202020202
84100,1330,82770,0.15273782129471922,0.9841854934601665
5249,252,4997,0.009221105388543096,0.9519908554010288
124916,4413,120503,0.2223675930829715,0.9646722597585577
121787,2791,118996,0.21958668337303866,0.9770829398868517
7304,2167,5137,0.009479451346997373,0.7033132530120482
77730,1766,75964,0.1401785170572919,0.9772803293451692
185357,13994,171363,0.3162209891328618,0.9245024466300167
11445,8332,3113,0.005744506919058366,0.27199650502402795
81206,2040,79166,0.14608725819279622,0.9748787035440731
1701,165,1536,0.0028344242298983776,0.9029982363315696
5763,1620,4143,0.0076451950419719914,0.7188964081207704
184071,13022,171049,0.31564155605461436,0.9292555589962569
2720,280,2440,0.004502600990203152,0.8970588235294118
10034,1378,8656,0.01597316154557315,0.8626669324297389
123942,1998,121944,0.22502671112677589,0.9838795565667813
84405,41843,42562,0.07854086202665023,0.5042592263491499
123618,2033,121585,0.22436423827616814,0.9835541749583394
10222,1658,8564,0.015803391344303194,0.8378008217569947
184922,51575,133347,0.24606898944287695,0.7210986253663707
9369,2498,6871,0.01267925057528109,0.7333760273241541
2899,224,2675,0.004936253134751407,0.9227319765436357
7127,52,7075,0.013055697543314468,0.99270380244142
5935,227,5708,0.010533133791835899,0.9617523167649537
3096,84,3012,0.00555812876331635,0.9728682170542635
84405,42159,42246,0.07795773829185343,0.5005153723120668
2488,0,2488,0.004591176747387476,1.0
2937,393,2544,0.004694515130769188,0.8661899897854954
124895,3003,121892,0.22493075405649288,0.9759558028744145
984,0,984,0.0018158030222786483,1.0
2131,0,2131,0.0039323945533290645,1.0
216763,38837,177926,0.3283318785995435,0.8208319685555192
78055,1479,76576,0.14130785796139203,0.9810518224328999
2954,366,2588,0.004775709574854819,0.8761002031144212
2735,230,2505,0.004622547328056925,0.9159049360146252
185357,13864,171493,0.31646088180856935,0.9252037959181472
679,526,153,0.00028233522602503374,0.22533136966126657
9575,6879,2696,0.004975005028519548,0.28156657963446474
5073,228,4845,0.008940615490792735,0.9550561797752809
79988,2536,77452,0.14292436553000595,0.968295244286643
7552,1448,6104,0.011263883788606575,0.8082627118644068
3153,216,2937,0.005419729142715843,0.9314938154138915
10191,1399,8792,0.016224126190928737,0.8627220096163282
2061,31,2030,0.003746016397587049,0.984958757884522
3251,1943,1308,0.002413689383272837,0.40233774223315905
216763,38572,178191,0.32882089059233194,0.8220545019214534
121867,2780,119087,0.21975460824603393,0.9771882462028276
4830,70,4760,0.008783762587445494,0.9855072463768116
218046,163897,54149,0.09992268074529119,0.24833750676462765
5197,278,4919,0.009077169783118568,0.9465076005387724
3076,21,3055,0.0056374778791273075,0.9931729518855656
5902,292,5610,0.010352291620917903,0.9505252456794308
81845,3228,78617,0.1450741729700005,0.9605595943551836
124559,4872,119687,0.22086180521083798,0.9608860058285632
10257,1245,9012,0.01663009841135689,0.8786194793799357
5080,451,4629,0.008542024583463275,0.9112204724409448
84100,1260,82840,0.15286699427394637,0.9850178359096314
220209,28618,191591,0.3535482894729558,0.8700416422580367
3832,785,3047,0.0056227152529299195,0.7951461377870563
955,332,623,0.0011496395151215425,0.6523560209424084
184806,27603,157203,0.29009114076348613,0.8506379662997955
5663,0,5663,0.010450094019475595,1.0
184922,51405,133517,0.24638269524957143,0.7220179318847947
118164,2256,115908,0.21388830966084713,0.9809078907281406
574,310,264,0.00048716666451378366,0.45993031358885017
5443,321,5122,0.009451771422877273,0.9410251699430461
3782,0,3782,0.006979031534814886,1.0
7244,185,7059,0.013026172290919694,0.9744616234124793
2727,1422,1305,0.002408153398448817,0.47854785478547857
5781,284,5497,0.010143769525879807,0.9508735512887043
7277,3027,4250,0.007842645167362048,0.584031881269754
4052,1130,2922,0.0053920492185957425,0.7211253701875617
7259,623,6636,0.012245598430732835,0.914175506268081
124050,3124,120926,0.22314816694315837,0.9748166062071745
40430,16197,24233,0.04471784008016106,0.5993816472916151
4738,976,3762,0.0069421249693214174,0.794005909666526
2003,0,2003,0.0036961925341708664,1.0
7050,161,6889,0.01271246648422521,0.9771631205673759
6108,0,6108,0.011271265101705268,1.0
4099,1868,2231,0.004116927380796407,0.544279092461576
1697,1612,85,0.00015685290334724095,0.05008839127872716
4286,3208,1078,0.00198926388009795,0.25151656556229585
3130,591,2539,0.004685288489395821,0.8111821086261981
114847,29496,85351,0.15750061357165132,0.743171349708743
40430,16136,24294,0.04483040510491614,0.6008904279000742
79978,1170,78808,0.14542663067046313,0.9853709770186801
121506,3507,117999,0.21774689108318923,0.9711372277912201
4160,848,3312,0.006111727245718377,0.7961538461538461
5518,120,5398,0.009961082026687138,0.9782529902138456
1950,24,1926,0.003554102257021013,0.9876923076923076
4825,560,4265,0.00787032509148215,0.883937823834197
1168,16,1152,0.0021258181724237834,0.9863013698630136
78600,1272,77328,0.14269554482394645,0.9838167938931298
7709,2231,5478,0.010108708288661011,0.7105980023349332
216763,38455,178308,0.3290367940004687,0.822594261935847
83586,1248,82338,0.1519406394800603,0.9850692699734406
3940,0,3940,0.007270593402213287,1.0
6384,36,6348,0.01171414388762689,0.9943609022556391
2919,315,2604,0.004805234827249594,0.8920863309352518
3716,54,3662,0.006757592141854075,0.9854682454251884
5847,151,5696,0.010510989852539818,0.97417479049085
5155,219,4936,0.009108540363788015,0.9575169738118332
5163,661,4502,0.008307667892579751,0.8719736587255471
1697,1431,266,0.0004908573210631305,0.1567472009428403
1359,682,677,0.0012492872419539074,0.49816041206769685
125819,3314,122505,0.2260619402888677,0.9736605759066596
2998,91,2907,0.005364369294475641,0.9696464309539693
83879,2229,81650,0.150671053627085,0.9734260065093766
119569,1808,117761,0.21730770295381696,0.9848790238272462
4283,1115,3168,0.005845999974165404,0.7396684566892365
121204,2156,119048,0.21968264044332167,0.9822118081911488
2901,43,2858,0.005273948209016643,0.9851775249913823
40430,16096,24334,0.04490421823590308,0.60187979223349
123618,2324,121294,0.22382724774823817,0.9812001488456373
119773,3193,116580,0.21512837026142767,0.9733412371736535
5126,646,4480,0.008267070670536935,0.8739758095981272
673,423,250,0.00046133206866835573,0.37147102526002973
114847,29418,85429,0.15764454917707585,0.7438505141623203
1140,292,848,0.0015648383769230627,0.743859649122807
6769,1095,5674,0.010470392630497002,0.8382331215836903
5838,585,5253,0.009693509426859492,0.8997944501541624
124559,5191,119368,0.22027314549121715,0.9583249704959096
6619,0,6619,0.012214227850063387,1.0
3522,547,2975,0.005489851617153434,0.8446905167518456
6653,173,6480,0.011957727219883781,0.9739966932211033
6314,0,6314,0.011651402726287993,1.0
2998,0,2998,0.005532294167470923,1.0
5690,330,5360,0.009890959552249548,0.9420035149384886
